geo_level,geo_name,year,state_name,pct_black_alone,business_formations,percentile_business_formations,quartiles_business_formations
county,"Baltimore city, Maryland",2011,Maryland,61.2,5686,97,Top 25% of geographies
county,"Baltimore city, Maryland",2006,Maryland,61.2,6094,97,Top 25% of geographies
county,"Baltimore city, Maryland",2021,Maryland,61.2,14637,98,Top 25% of geographies
county,"Baltimore city, Maryland",2005,Maryland,61.2,5386,97,Top 25% of geographies
county,"Baltimore city, Maryland",2020,Maryland,61.2,12512,98,Top 25% of geographies
county,"Baltimore city, Maryland",2022,Maryland,61.2,11305,97,Top 25% of geographies
county,"Baltimore city, Maryland",2017,Maryland,61.2,8402,98,Top 25% of geographies
county,"Baltimore city, Maryland",2014,Maryland,61.2,6549,97,Top 25% of geographies
county,"Baltimore city, Maryland",2015,Maryland,61.2,7081,97,Top 25% of geographies
county,"Baltimore city, Maryland",2019,Maryland,61.2,8825,97,Top 25% of geographies
county,"Baltimore city, Maryland",2009,Maryland,61.2,5313,97,Top 25% of geographies
county,"Baltimore city, Maryland",2013,Maryland,61.2,6386,97,Top 25% of geographies
county,"Baltimore city, Maryland",2010,Maryland,61.2,5633,97,Top 25% of geographies
county,"Baltimore city, Maryland",2008,Maryland,61.2,6102,97,Top 25% of geographies
county,"Baltimore city, Maryland",2016,Maryland,61.2,7525,98,Top 25% of geographies
county,"Baltimore city, Maryland",2007,Maryland,61.2,6162,97,Top 25% of geographies
county,"Baltimore city, Maryland",2018,Maryland,61.2,9254,98,Top 25% of geographies
county,"Baltimore city, Maryland",2012,Maryland,61.2,6084,97,Top 25% of geographies
